Title,Director,IMdB Rating,Rating,Runtime,Release Date,Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Actor,Actor7,Actor8,Actor9,Writer,Writer10,Writer11,Writer12,Writer13,Writer14,Writer15,Writer16,Writer17,,,
Buried Alive,Frank Darabont,6.6,PG-13,93 min,9-May-90,Horror, Romance, Thriller,,,,Tim Matheson, Jennifer Jason Leigh, William Atherton, Hoyt Axton,David A. Davies (story), Mark Patrick Carducci (teleplay),,,,,,,,,,
Congo,Frank Marshall,5.1,PG-13,109 min,9-Jun-95,Action, Adventure, Mystery, Sci-Fi,,,Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry,Michael Crichton (novel), John Patrick Shanley (screenplay),,,,,,,,,,
The Stepford Wives,Frank Oz,5.3,PG-13,93 min,11-Jun-04,Comedy, Horror, Sci-Fi, Thriller,,,Nicole Kidman, Matthew Broderick, Bette Midler, Glenn Close,Ira Levin (book), Paul Rudnick (screenplay),,,,,,,,,,
Tuff Turf,Fritz Kiersch,6.2,R,112 min,11-Jan-85,Action, Drama,,,,,James Spader, Kim Richards, Paul Mones, Matt Clark,Jette Rinck (screenplay), Greg Collins O'Neill (story), Murray Michaels (story),,,,,,,,,
Godzilla,Gareth Edwards,6.4,PG-13,123 min,16-May-14,Action, Adventure, Sci-Fi, Thriller,,,Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston,Max Borenstein (screenplay), Dave Callaham (story), Ishirô Honda (based on the character created by), Takeo Murata (based on the character created by), Shigeru Kayama (based on the character created by),,,,,,,
Runaway Bride,Garry Marshall,5.5,PG,116 min,30-Jul-99,Comedy, Romance,,,,,Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo,Josann McGibbon, Sara Parriott,,,,,,,,,,
Overboard,Garry Marshall,6.8,PG,106 min,16-Dec-87,Comedy, Romance,,,,,Goldie Hawn, Kurt Russell, Edward Herrmann, Katherine Helmond,Leslie Dixon,,,,,,,,,,,
Masters of the Universe,Gary Goddard,5.4,PG,106 min,7-Aug-87,Action, Adventure, Fantasy, Sci-Fi, Thriller,,Dolph Lundgren, Frank Langella, Meg Foster, Billy Barty,David Odell,,,,,,,,,,,
Dracula Untold,Gary Shore,6.3,PG-13,92 min,10-Oct-14,Action, Drama, Fantasy, Horror, War,,Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson,Matt Sazama (screenplay), Burk Sharpless (screenplay), Bram Stoker (characters),,,,,,,,,
X-Men Origins: Wolverine,Gavin Hood,6.6,PG-13,107 min,1-May-09,Action, Adventure, Sci-Fi, Thriller,,,Hugh Jackman, Liev Schreiber, Danny Huston, Will.i.am,David Benioff (screenplay), Skip Woods (screenplay),,,,,,,,,,
Freejack,Geoff Murphy,5.3,R,110 min,17-Jan-92,Action, Crime, Sci-Fi, Thriller,,,Emilio Estevez, Mick Jagger, Rene Russo, Anthony Hopkins,Robert Sheckley (novel), Steven Pressfield (screen story), Ronald Shusett (screen story), Steven Pressfield (screenplay), Ronald Shusett (screenplay),,,,,,,
Under Siege 2: Dark Territory,Geoff Murphy,5.4,R,100 min,14-Jul-95,Action, Thriller,,,,,Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl,Richard Hatem, Matt Reeves, J.F. Lawton (characters),,,, Steven E. de Souza (screenplay),,,,,
White Noise,Geoffrey Sax,5.5,PG-13,101 min,7-Jan-05,Drama, Horror, Mystery, Thriller,,,Michael Keaton, Chandra West, Deborah Kara Unger, Ian McNeice,Niall Johnson,,,,,,,,,,,
Star Wars: Episode IV - A New Hope,George Lucas,8.6,PG,121 min,25-May-77,Action, Adventure, Fantasy, Sci-Fi,,,Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing,George Lucas,,,,,,,,,,,
Star Wars: Episode II - Attack of the Clones,George Lucas,6.6,PG,142 min,16-May-02,Action, Adventure, Fantasy, Sci-Fi,,,Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee,George Lucas (screenplay by), Jonathan Hales (screenplay by), George Lucas (story by),,,,,,,,,
Cobra,George P. Cosmatos,5.7,R,87 min,23-May-86,Action, Crime, Thriller,,,,Sylvester Stallone, Brigitte Nielsen, Reni Santoni, Andrew Robinson,Paula Gosling (novel), Sylvester Stallone (screenplay),,,,,,,,,,
Never Too Young to Die,Gil Bettman,5,R,92 min,13-Jun-86,Action, Adventure, Comedy,,,,John Stamos, Vanity, Gene Simmons, George Lazenby,Steven Paul (story), Stuart Paul (story), Steven Paul (screenplay), Anthony Foutz (screenplay),,,,,,,,
